1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3600000062392621
Is Mission Active?  true
Mission Start:  Fri Jul 21 15:13:00 AKDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1578
Total Samples:  3051
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/21/23 6:59:00 PM,C,6
7/21/23 7:00:00 PM,C,6
7/21/23 7:01:00 PM,C,6
7/21/23 7:02:00 PM,C,6
7/21/23 7:03:00 PM,C,6
7/21/23 7:04:00 PM,C,6
7/21/23 7:05:00 PM,C,6
7/21/23 7:06:00 PM,C,6
7/21/23 7:07:00 PM,C,6.5
7/21/23 7:08:00 PM,C,6.5
7/21/23 7:09:00 PM,C,6.5
7/21/23 7:10:00 PM,C,6.5
7/21/23 7:11:00 PM,C,6.5
7/21/23 7:12:00 PM,C,6.5
7/21/23 7:13:00 PM,C,6.5
7/21/23 7:14:00 PM,C,6.5
7/21/23 7:15:00 PM,C,6.5
7/21/23 7:16:00 PM,C,6.5
7/21/23 7:17:00 PM,C,6.5
7/21/23 7:18:00 PM,C,6.5
7/21/23 7:19:00 PM,C,6
7/21/23 7:20:00 PM,C,6
7/21/23 7:21:00 PM,C,6
7/21/23 7:22:00 PM,C,6
7/21/23 7:23:00 PM,C,6
7/21/23 7:24:00 PM,C,6
7/21/23 7:25:00 PM,C,6
7/21/23 7:26:00 PM,C,6
7/21/23 7:27:00 PM,C,6
7/21/23 7:28:00 PM,C,6
7/21/23 7:29:00 PM,C,5.5
7/21/23 7:30:00 PM,C,5.5
7/21/23 7:31:00 PM,C,5.5
7/21/23 7:32:00 PM,C,5
7/21/23 7:33:00 PM,C,5
7/21/23 7:34:00 PM,C,5
7/21/23 7:35:00 PM,C,5
7/21/23 7:36:00 PM,C,5
7/21/23 7:37:00 PM,C,4.5
7/21/23 7:38:00 PM,C,4.5
7/21/23 7:39:00 PM,C,4.5
7/21/23 7:40:00 PM,C,4.5
7/21/23 7:41:00 PM,C,4.5
7/21/23 7:42:00 PM,C,4.5
7/21/23 7:43:00 PM,C,4.5
7/21/23 7:44:00 PM,C,4.5
7/21/23 7:45:00 PM,C,4.5
7/21/23 7:46:00 PM,C,4.5
7/21/23 7:47:00 PM,C,4.5
7/21/23 7:48:00 PM,C,4.5
7/21/23 7:49:00 PM,C,4.5
7/21/23 7:50:00 PM,C,4.5
7/21/23 7:51:00 PM,C,4.5
7/21/23 7:52:00 PM,C,4.5
7/21/23 7:53:00 PM,C,4.5
7/21/23 7:54:00 PM,C,4.5
7/21/23 7:55:00 PM,C,4.5
7/21/23 7:56:00 PM,C,4.5
7/21/23 7:57:00 PM,C,4.5
7/21/23 7:58:00 PM,C,4.5
7/21/23 7:59:00 PM,C,4.5
7/21/23 8:00:00 PM,C,4.5
